"feature","release","summary","detail","status"

"card-grid","r0.1","drag-n-drop card-grid grid",,"done"
"card-grid","r0.1","ability to support arbitrary dimensions",,"done"
"card-grid","r0.1","pre-formatted dimensions: release, feature, status, strategy, assigned to",,"done"
"card-grid","r0.1","project story map view by any two dimension",,"done"
"card-grid","r0.1","story sort order by x/y dimensions",,"ready to test"

"import/export","r0.1","export story list (to csv file)",,"ready to test"
"import/export","r0.1","import story list (from csv file)",,"done"
"import/export","r0.1","bootstrap loads a csv file into a project",,"done"


"card-grid","r0.2","create/edit/delete story",,"in progress"

,"r0.2","refactor stories so they have a storyId that is unique per project",,"on deck"
,"r0.2","import into project:2 is modifying project:1",,"on deck"
,"r0.2","ability to merge two dimensions (perhaps because they were misspelled)",,"on deck"

"import/export","r0.2","everytime a project is saved it is exported to a file?",,"on deck"

"project config","r0.2","create/edit/delete dimensions and elements",,"in progress"
"project config","r0.2","create/edit/delete project",,"in progress"
"project config","r0.2","edit dimension/element colours",,"on deck"

"estimation","r0.3","heuristic estimation",,
"estimation","r0.3","extend CRUD to include estimation params",,
"estimation","r0.3","aggregate estimate for each release, dimension, and project",,
"estimation","r0.3","display total 'cost' of each grid-cell,update when cards are dragged around",,

"estimation",,"project risks",,
"estimation",,"project assumptions",,
"estimation",,"project questions",,
"estimation",,"auto-split stories into releases based on estimate and capacity",,

,,"""accept"" function",,
,,"annotate overdue stories",,
,,"timeline view",,
,,"dependency view",,

,,"security and access control (both for features and data)",,
,,"add remote synchronization of views (live events?)",,
,,"change log",,

,,"switch from SQL to noSQL (mongo?)",,"in progress"
